ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType
P080,Participant_80,user80@university.edu,Basketball,1,COORDINATOR,82,Balanced
P081,Participant_81,user81@university.edu,FIFA,10,STRATEGIST,52,Thinker
P082,Participant_82,user82@university.edu,Valorant,10,ATTACKER,97,Leader
P083,Participant_83,user83@university.edu,DOTA 2,10,DEFENDER,75,Balanced
P084,Participant_84,user84@university.edu,FIFA,5,SUPPORTER,63,Thinker
P085,Participant_85,user85@university.edu,Basketball,10,COORDINATOR,98,Leader
P086,Participant_86,user86@university.edu,FIFA,9,STRATEGIST,89,Balanced
P087,Participant_87,user87@university.edu,Basketball,4,ATTACKER,51,Thinker
P088,Participant_88,user88@university.edu,FIFA,4,DEFENDER,92,Leader
P089,Participant_89,user89@university.edu,Chess,6,SUPPORTER,75,Balanced
P090,Participant_90,user90@university.edu,Chess,5,COORDINATOR,62,Thinker
P091,Participant_91,user91@university.edu,FIFA,10,STRATEGIST,98,Leader
P092,Participant_92,user92@university.edu,Basketball,7,ATTACKER,70,Balanced
P093,Participant_93,user93@university.edu,CS:GO,4,DEFENDER,51,Thinker
P094,Participant_94,user94@university.edu,CS:GO,2,SUPPORTER,98,Leader
P095,Participant_95,user95@university.edu,CS:GO,2,COORDINATOR,84,Balanced
P096,Participant_96,user96@university.edu,DOTA 2,8,STRATEGIST,56,Thinker
P097,Participant_97,user97@university.edu,FIFA,3,ATTACKER,96,Leader
P098,Participant_98,user98@university.edu,CS:GO,5,DEFENDER,83,Balanced
P099,Participant_99,user99@university.edu,Valorant,3,SUPPORTER,66,Thinker
P100,Participant_100,user100@university.edu,CS:GO,7,COORDINATOR,97,Leader
P101,Shdad,sharunadrc@gmail.com,Basketball,5,STRATEGIST,100,Leader
