TeamID,ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType
Team_11,P012,Participant_12,user12@university.edu,DOTA 2,3,ATTACKER,63,Thinker
Team_11,P035,Participant_35,user35@university.edu,Basketball,8,COORDINATOR,78,Balanced
SUMMARY,Avg Skill: 5.6,Unique Roles: 3
Team_13,P073,Participant_73,user73@university.edu,DOTA 2,8,DEFENDER,100,Leader
Team_13,P057,Participant_57,user57@university.edu,CS:GO,7,ATTACKER,54,Thinker
Team_13,P051,Participant_51,user51@university.edu,FIFA,2,STRATEGIST,57,Thinker
Team_13,P032,Participant_32,user32@university.edu,DOTA 2,2,ATTACKER,86,Balanced
Team_13,P086,Participant_86,user86@university.edu,FIFA,9,STRATEGIST,89,Balanced
SUMMARY,Avg Skill: 5.6,Unique Roles: 3
Team_16,P061,Participant_61,user61@university.edu,CS:GO,7,STRATEGIST,98,Leader
Team_16,P063,Participant_63,user63@university.edu,Chess,8,DEFENDER,60,Thinker
Team_16,P080,Participant_80,user80@university.edu,Basketball,1,COORDINATOR,82,Balanced
Team_16,P006,Participant_6,user6@university.edu,CS:GO,2,STRATEGIST,57,Thinker
Team_16,P047,Participant_47,user47@university.edu,DOTA 2,10,ATTACKER,78,Balanced
SUMMARY,Avg Skill: 5.6,Unique Roles: 4
Team_6,P025,Participant_25,user25@university.edu,FIFA,9,COORDINATOR,100,Leader
Team_6,P009,Participant_9,user9@university.edu,CS:GO,6,SUPPORTER,62,Thinker
Team_6,P023,Participant_23,user23@university.edu,CS:GO,3,DEFENDER,87,Balanced
Team_6,P003,Participant_3,user3@university.edu,FIFA,4,DEFENDER,66,Thinker
Team_6,P020,Participant_20,user20@university.edu,Valorant,3,COORDINATOR,82,Balanced
SUMMARY,Avg Skill: 5.0,Unique Roles: 3
